team,elo
Scotland,1740.5068213228244
England,2186.371348401247
Wales,1738.2819389061417
Northern Ireland,1546.6897468408174
United States,1880.8320686268278
Canada,1884.6563060240155
Uruguay,1983.8603213972144
Argentina,2255.1015138968514
Austria,1843.9511094701015
Hungary,1716.4137963696835
Czechoslovakia,1773.4253276058128
Belgium,2037.216281012221
France,2175.7065861166334
Switzerland,2000.4288621096202
Guernsey,1746.7799379489954
Alderney,1115.7784363282435
Jersey,1779.9808132500227
Netherlands,2049.8441078743604
Guyana,1479.9083335988987
Trinidad and Tobago,1551.9842007478137
Germany,1966.5412982866785
Sweden,1767.8431057087018
Norway,1931.513688041526
Denmark,1914.674027029724
Italy,1959.1674456406984
Chile,1740.4125761031917
Russia,1803.26344857092
Finland,1590.2014594973164
Luxembourg,1297.6791682126418
Catalonia,1546.014872465233
Philippines,1340.1655085521031
China PR,1589.0143038656072
Brazil,2114.294615283573
Basque Country,1676.91309762294
Japan,1985.778905818082
Paraguay,1781.3318896851401
Romania,1696.3433187936937
Greece,1763.7459458683036
Yugoslavia,1798.385032197958
Spain,2318.1581639985925
Egypt,1885.674906719486
Estonia,1351.277138778028
Suriname,1538.5145324003777
Provence,1432.8866814164296
Costa Rica,1757.2145628184574
El Salvador,1503.6877620147277
Guatemala,1627.1153072357474
Poland,1721.0977668313765
Portugal,2063.1032009916894
Brittany,1501.3115278787798
New Zealand,1724.84387252422
Australia,1874.9807320821292
Latvia,1277.038464344928
Galicia,1506.5911830766938
Central Spain,1497.1596393545628
Mexico,2023.685551444337
Andalusia,1539.816028526213
Asturias,1508.7227270339934
Lithuania,1257.0466832688849
Turkey,1831.8428017062301
Aruba,1226.291538829024
Curaçao,1547.5506011927985
Bulgaria,1489.5435523169172
Republic of Ireland,1676.9046390294352
South Africa,1723.7523166592769
Haiti,1647.678689352898
Jamaica,1681.9654008832947
Kenya,1471.3143913321085
Uganda,1537.042785458147
Bolivia,1621.8724792496903
Peru,1758.7472181517317
Honduras,1678.90364990833
Belarus,1454.6144421280624
Ukraine,1789.5291638442095
Barbados,1199.9209702519493
Nicaragua,1477.45413291207
Cuba,1401.610885404702
Martinique,1504.3558587340503
Dominica,1226.3204130691613
Silesia,1504.3124143293123
Guadeloupe,1523.5356509889518
Israel,1600.6198896346298
Indonesia,1462.16562655892
French Guiana,1477.120062692059
Saint Lucia,1264.555078261206
Colombia,2046.3097067977374
Panama,1823.0705513237665
Venezuela,1725.3438034185058
Ecuador,1877.5851883520247
Saint Kitts and Nevis,1329.0088072635135
Grenada,1286.6517110016164
India,1339.5978411637468
Slovakia,1682.8353727725885
Manchukuo,1460.4075290647008
Croatia,1970.3397517996211
Lebanon,1443.4817019250202
Puerto Rico,1364.661054766659
Afghanistan,1272.1899072127258
Iran,1924.393661921533
Mongolia,1102.492448688999
Tanzania,1397.340110838588
Zimbabwe,1450.6584006115995
Zambia,1583.3874798197387
Iceland,1555.1427531418276
Albania,1609.900842533824
Montenegro,1475.117196648307
Madagascar,1452.6916491597951
Mauritius,1185.7240133361415
Réunion,1582.439932397651
Zanzibar,1502.2821000868516
Djibouti,1050.7097284407423
Ethiopia,1380.295709716367
DR Congo,1733.7273894942377
South Korea,1889.0813993814863
Vietnam,1467.250863408744
Macau,959.1091774842448
Dominican Republic,1491.1978716337226
Cyprus,1270.3002114125943
Sierra Leone,1426.0478548891351
Nigeria,1886.6569306892948
Syria,1601.9837707836325
Serbia,1806.1719766277904
Taiwan,1121.4163044413613
Ghana,1701.2740574941995
Myanmar,1162.9288993458836
New Caledonia,1642.306285516527
Vanuatu,1492.9805243446788
Fiji,1551.7132311871237
Pakistan,1052.2751469809118
